xKey,yKey,xValue,yValue,crimeType,numCrimes
Month,Region,12. Dec,02. Northwest Side,Financial,134
Month,Region,01. Jan,07. South Side,Financial,122
Month,Region,02. Feb,07. South Side,Financial,136
Month,Region,03. Mar,07. South Side,Financial,147
Month,Region,04. Apr,07. South Side,Financial,146
Month,Region,05. May,07. South Side,Financial,137
Month,Region,06. Jun,07. South Side,Financial,132
Month,Region,07. Jul,07. South Side,Financial,147
Month,Region,08. Aug,07. South Side,Financial,121
Month,Region,09. Sep,07. South Side,Financial,145
Month,Region,10. Oct,07. South Side,Financial,130
Month,Region,11. Nov,07. South Side,Financial,122
Month,Region,12. Dec,07. South Side,Financial,128
Month,Region,01. Jan,06. Southwest Side,Financial,124
Month,Region,02. Feb,06. Southwest Side,Financial,108
Month,Region,03. Mar,06. Southwest Side,Financial,149
Month,Region,04. Apr,06. Southwest Side,Financial,146
Month,Region,05. May,06. Southwest Side,Financial,140
Month,Region,06. Jun,06. Southwest Side,Financial,152
Month,Region,07. Jul,06. Southwest Side,Financial,116
Month,Region,08. Aug,06. Southwest Side,Financial,142
Month,Region,09. Sep,06. Southwest Side,Financial,166
Month,Region,10. Oct,06. Southwest Side,Financial,178
Month,Region,11. Nov,06. Southwest Side,Financial,189
Month,Region,12. Dec,06. Southwest Side,Financial,207
Month,Region,01. Jan,05. West Side,Financial,223
Month,Region,02. Feb,05. West Side,Financial,192
Month,Region,03. Mar,05. West Side,Financial,278
Month,Region,04. Apr,05. West Side,Financial,248
Month,Region,05. May,05. West Side,Financial,192
Month,Region,06. Jun,05. West Side,Financial,234
Month,Region,07. Jul,05. West Side,Financial,222
Month,Region,08. Aug,05. West Side,Financial,241
Month,Region,09. Sep,05. West Side,Financial,292
Month,Region,10. Oct,05. West Side,Financial,266
Month,Region,11. Nov,05. West Side,Financial,268
Month,Region,12. Dec,05. West Side,Financial,262
Month,Location of crime,01. Jan,Other,Financial,186
Month,Location of crime,02. Feb,Other,Financial,137
Month,Location of crime,03. Mar,Other,Financial,157
Month,Location of crime,04. Apr,Other,Financial,164
Month,Location of crime,05. May,Other,Financial,173
Month,Location of crime,06. Jun,Other,Financial,170
Month,Location of crime,07. Jul,Other,Financial,182
Month,Location of crime,08. Aug,Other,Financial,196
Month,Location of crime,09. Sep,Other,Financial,201
Month,Location of crime,10. Oct,Other,Financial,206
Month,Location of crime,11. Nov,Other,Financial,180
Month,Location of crime,12. Dec,Other,Financial,184
Month,Location of crime,01. Jan,Apartment,Financial,355
Month,Location of crime,02. Feb,Apartment,Financial,321
Month,Location of crime,03. Mar,Apartment,Financial,411
Month,Location of crime,04. Apr,Apartment,Financial,361
Month,Location of crime,05. May,Apartment,Financial,351
Month,Location of crime,06. Jun,Apartment,Financial,351
Month,Location of crime,07. Jul,Apartment,Financial,321
Month,Location of crime,08. Aug,Apartment,Financial,358
Month,Location of crime,09. Sep,Apartment,Financial,346
Month,Location of crime,10. Oct,Apartment,Financial,370
Month,Location of crime,11. Nov,Apartment,Financial,347
Month,Location of crime,12. Dec,Apartment,Financial,327
Month,Location of crime,01. Jan,Business,Financial,245
Month,Location of crime,02. Feb,Business,Financial,197
Month,Location of crime,03. Mar,Business,Financial,285
Month,Location of crime,04. Apr,Business,Financial,262
Month,Location of crime,05. May,Business,Financial,282
Month,Location of crime,06. Jun,Business,Financial,297
Month,Location of crime,07. Jul,Business,Financial,283
Month,Location of crime,08. Aug,Business,Financial,312
Month,Location of crime,09. Sep,Business,Financial,342
Month,Location of crime,10. Oct,Business,Financial,339
Month,Location of crime,11. Nov,Business,Financial,327
Month,Location of crime,12. Dec,Business,Financial,350
Month,Location of crime,01. Jan,Parking Lot / Garage,Financial,9
Month,Location of crime,02. Feb,Parking Lot / Garage,Financial,8
Month,Location of crime,03. Mar,Parking Lot / Garage,Financial,15
Month,Location of crime,04. Apr,Parking Lot / Garage,Financial,13
Month,Location of crime,05. May,Parking Lot / Garage,Financial,19
Month,Location of crime,06. Jun,Parking Lot / Garage,Financial,13
Month,Location of crime,07. Jul,Parking Lot / Garage,Financial,17
Month,Location of crime,08. Aug,Parking Lot / Garage,Financial,18
Month,Location of crime,09. Sep,Parking Lot / Garage,Financial,14
Month,Location of crime,10. Oct,Parking Lot / Garage,Financial,20
Month,Location of crime,11. Nov,Parking Lot / Garage,Financial,16
Month,Location of crime,12. Dec,Parking Lot / Garage,Financial,11
Month,Location of crime,01. Jan,Residence,Financial,393
Month,Location of crime,02. Feb,Residence,Financial,326
Month,Location of crime,03. Mar,Residence,Financial,451
Month,Location of crime,04. Apr,Residence,Financial,435
Month,Location of crime,05. May,Residence,Financial,387
Month,Location of crime,06. Jun,Residence,Financial,407
Month,Location of crime,07. Jul,Residence,Financial,383
Month,Location of crime,08. Aug,Residence,Financial,404
Month,Location of crime,09. Sep,Residence,Financial,520
Month,Location of crime,10. Oct,Residence,Financial,463
Month,Location of crime,11. Nov,Residence,Financial,424
Month,Location of crime,12. Dec,Residence,Financial,422
Month,Location of crime,01. Jan,Street / Sidewalk / Alley,Financial,68
Month,Location of crime,02. Feb,Street / Sidewalk / Alley,Financial,48
Month,Location of crime,03. Mar,Street / Sidewalk / Alley,Financial,51
Month,Location of crime,04. Apr,Street / Sidewalk / Alley,Financial,71
Month,Location of crime,05. May,Street / Sidewalk / Alley,Financial,58
Month,Location of crime,06. Jun,Street / Sidewalk / Alley,Financial,78
Month,Location of crime,07. Jul,Street / Sidewalk / Alley,Financial,76
Month,Location of crime,08. Aug,Street / Sidewalk / Alley,Financial,104
Month,Location of crime,09. Sep,Street / Sidewalk / Alley,Financial,81
Month,Location of crime,10. Oct,Street / Sidewalk / Alley,Financial,125
Month,Location of crime,11. Nov,Street / Sidewalk / Alley,Financial,91
Month,Location of crime,12. Dec,Street / Sidewalk / Alley,Financial,93
Month,Location of crime,01. Jan,Vehicle,Financial,7
Month,Location of crime,02. Feb,Vehicle,Financial,5
Month,Location of crime,03. Mar,Vehicle,Financial,11
Month,Location of crime,04. Apr,Vehicle,Financial,9
Month,Location of crime,05. May,Vehicle,Financial,7
Month,Location of crime,06. Jun,Vehicle,Financial,6
Month,Location of crime,07. Jul,Vehicle,Financial,9
Month,Location of crime,08. Aug,Vehicle,Financial,12
Month,Location of crime,09. Sep,Vehicle,Financial,12
Month,Location of crime,10. Oct,Vehicle,Financial,8
Month,Location of crime,11. Nov,Vehicle,Financial,7
Month,Location of crime,12. Dec,Vehicle,Financial,6
Day of week,Location of crime,07. Sun,Other,Financial,189
Day of week,Location of crime,01. Mon,Other,Financial,329
Day of week,Location of crime,02. Tue,Other,Financial,338
Day of week,Location of crime,03. Wed,Other,Financial,324
Day of week,Location of crime,04. Thu,Other,Financial,343
Day of week,Location of crime,05. Fri,Other,Financial,371
Day of week,Location of crime,06. Sat,Other,Financial,242
Day of week,Location of crime,07. Sun,Apartment,Financial,364
Day of week,Location of crime,01. Mon,Apartment,Financial,639
Day of week,Location of crime,02. Tue,Apartment,Financial,692
Day of week,Location of crime,03. Wed,Apartment,Financial,644
Day of week,Location of crime,04. Thu,Apartment,Financial,676
Day of week,Location of crime,05. Fri,Apartment,Financial,730
Day of week,Location of crime,06. Sat,Apartment,Financial,474
Day of week,Location of crime,07. Sun,Business,Financial,297
Day of week,Location of crime,01. Mon,Business,Financial,516
Day of week,Location of crime,02. Tue,Business,Financial,547
Day of week,Location of crime,03. Wed,Business,Financial,585
Day of week,Location of crime,04. Thu,Business,Financial,510
Day of week,Location of crime,05. Fri,Business,Financial,578
Day of week,Location of crime,06. Sat,Business,Financial,488
Day of week,Location of crime,07. Sun,Parking Lot / Garage,Financial,15
Day of week,Location of crime,01. Mon,Parking Lot / Garage,Financial,22
Day of week,Location of crime,02. Tue,Parking Lot / Garage,Financial,29
Day of week,Location of crime,03. Wed,Parking Lot / Garage,Financial,30
Day of week,Location of crime,04. Thu,Parking Lot / Garage,Financial,21
Day of week,Location of crime,05. Fri,Parking Lot / Garage,Financial,31
Day of week,Location of crime,06. Sat,Parking Lot / Garage,Financial,25
Day of week,Location of crime,07. Sun,Residence,Financial,375
Day of week,Location of crime,01. Mon,Residence,Financial,849
Day of week,Location of crime,02. Tue,Residence,Financial,811
Day of week,Location of crime,03. Wed,Residence,Financial,790
Day of week,Location of crime,04. Thu,Residence,Financial,869
Day of week,Location of crime,05. Fri,Residence,Financial,803
Day of week,Location of crime,06. Sat,Residence,Financial,518
Day of week,Location of crime,07. Sun,Street / Sidewalk / Alley,Financial,139
Day of week,Location of crime,01. Mon,Street / Sidewalk / Alley,Financial,137
Day of week,Location of crime,02. Tue,Street / Sidewalk / Alley,Financial,128
Day of week,Location of crime,03. Wed,Street / Sidewalk / Alley,Financial,140
Day of week,Location of crime,04. Thu,Street / Sidewalk / Alley,Financial,119
Day of week,Location of crime,05. Fri,Street / Sidewalk / Alley,Financial,145
Day of week,Location of crime,06. Sat,Street / Sidewalk / Alley,Financial,136
Day of week,Location of crime,07. Sun,Vehicle,Financial,9
Day of week,Location of crime,01. Mon,Vehicle,Financial,14
Day of week,Location of crime,02. Tue,Vehicle,Financial,18
Day of week,Location of crime,03. Wed,Vehicle,Financial,5
Day of week,Location of crime,04. Thu,Vehicle,Financial,17
Day of week,Location of crime,05. Fri,Vehicle,Financial,15
Day of week,Location of crime,06. Sat,Vehicle,Financial,21
Hour,Location of crime,00:00,Other,Financial,295
Hour,Location of crime,01:00,Other,Financial,32
Hour,Location of crime,02:00,Other,Financial,21
